ISO 639-3;Language;Family;Genus;Subgenus;Speakers;Script;Parts
acu;Achuar-Shiwiar;Jivaroan;;;5000;Latin;New Testament
afr;Afrikaans;Indo-European;Germanic;West;5000000;Latin;COMPLETE
agr;Aguaruna;Jivaroan;;;38300;Latin;New Testament
ake;Akawaio;Carib;Northern;East-West Guiana;4500;Latin;New Testament
als;Albanian;Indo-European;Albanian;Tosk;3000000;Latin;COMPLETE
amh;Amharic;Afro-Asiatic;Semitic;South;17500000;Ethiopic;New Testament
amu;Amuzgo;Oto-Manguean;Amuzgoan;;23000;Latin;New Testament
arb;Arabic;Afro-Asiatic;Semitic;Central;206000000;Arabic;COMPLETE
hye;Armenian;Indo-European;Armenian;;6400000;Armenian;Gen. Exod. Gosp.
djk;Aukan;Creole;English based;Atlantic;15500;Latin;New Testament
bsn;Barasana-Eduria;Tucanoan;Eastern Tucanoan;Central;1890;Latin;New Testament
eus;Basque;Basque;;;700000;Latin;New Testament
bul;Bulgarian;Indo-European;Slavic;South;9000000;Cyrillic;COMPLETE
cjp;Cabécar;Chibchan;Talamanca;;8840;Latin;New Testament
cak;Cakchiquel;Mayan;Quichean;Greater Quichean;132000;Latin;New Testament
cni;Campa (Asháninka);Arawakan;Maipuran;Southern Maipuran;26100;Latin;New Testament
kbh;Camsá;Equatorial (?);;;4770;Latin;New Testament
ceb;Cebuano;Austronesian;Malayo-Polynesian;Phillipine;15800000;Latin;COMPLETE
cha;Chamorro;Austronesian;Malayo-Polynesian;Chamorro;92000;Latin;Psalm Gosp. Acts
chr;Cherokee;Iroquoian;Southern Iroquoian;;16400;Cherokee;New Testament
chq;Chinantec (Quiotepec);Oto-Manguean;Chinantecan;;8000;Latin;New Testament
cmn;Chinese;Sino-Tibetan;Sinitic;Chinese;840000000;Chinese;COMPLETE
↳  ;Chinese (tokenised) [Tokenisation by Armin Hoenen, using Stanford Word Segmenter 3.5.2] ;;;;;;
cop;Coptic;Afro-Asiatic;Egyptian;;Extinct;Coptic;New Testament
crp;Creole (Haitian);Indo-European;Italic;Romance;9600000;Latin;COMPLETE
hrv;Croatian;Indo-European;Slavic;South;5500000;Latin;COMPLETE
ces;Czech;Indo-European;Slavic;West;9500000;Latin;COMPLETE
dan;Danish;Indo-European;Germanic;North;5500000;Latin;COMPLETE
