,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen,P_Freq_VarStrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen,Fisher_z_Freq_VarStrLen_MeanStrLen,Fisher_p_Freq_VarStrLen_MeanStrLen
Swedish random,-0.7725528749956417,1.5605346814101235e-05,-0.5934777351502147,0.0,-0.42376773524185085,0.002995154494986574,-0.9144833682427261,3.088148061023694e-27,5.6269677434575085,1.8340500673730276e-08
Uspanteco random,-0.8395536678480481,1.3175276826489147e-05,-0.41543351128462586,0.0,-0.7280220290612057,2.1426987521875044e-08,-0.919245681135784,5.691641327717081e-26,3.2442909603988994,0.0011774340564492114
Campa (Axininca) random,-0.6727110129556908,1.7974181885700855e-05,-0.2612454774869876,0.0,-0.7764756993122044,1.9252877867541727e-06,-0.9073500530122983,2.9206322868940155e-16,1.8251810432729332,0.06797371349225823
Galela random,-0.7608859102526822,9.80194262437067e-05,-0.4336440823542383,0.0,-0.5890236185955985,1.5776103860884735e-07,-0.8565027720327176,1.219576298325635e-31,3.794141391646768,0.00014815523570477218
Slovak random,-0.7442590735943037,0.0006120111461912694,-0.31602091239550534,0.0,-0.4749779510389226,0.003936141358819242,-0.8924763371112346,2.579928526068034e-20,4.098293151014479,4.162079470670932e-05
Akawaio random,-0.7493587001820033,1.626195399310412e-05,-0.4384356976458878,0.0,-0.7309747709044475,3.332567534877083e-11,-0.6177619691159884,1.126778588156753e-10,1.2262460375567044,0.22010610143023723
Tachelhit random,-0.7279522854655586,1.6804109852907502e-05,-0.3405954876017748,0.0,-0.6827724653756352,2.3180270509050145e-05,-0.920274043531055,4.545985731385688e-17,3.0202735292391676,0.0025254649650918726
Camsa random,-0.6678970583624688,0.00010297269979592336,-0.25633492660913565,0.0,-0.39108961255396024,0.022191527467139108,-0.8905595866122064,4.9903957655691866e-27,4.718542783225374,2.3754001678977232e-06
Polish random,-0.7751626880742236,9.687219691882218e-05,-0.3405620366073312,0.0,-0.619125436836744,0.00034255741709861043,-0.9043827526359102,5.273547671161253e-19,3.147211662634774,0.0016483559097641987
Spanish random,-0.8395536678480481,1.3175276826489147e-05,-0.39384716867665054,0.0,-0.43701208572828554,0.003016190519018393,-0.8988501163206065,2.0185835775581744e-26,5.045677007285877,4.519182892348539e-07
Icelandic random,-0.7977240352174656,1.4796915405948722e-05,-0.4054161372708215,0.0,-0.42804837176691796,0.003001849403684414,-0.8941583924390749,1.1554804831156372e-23,4.962246137698866,6.968261145878785e-07
