,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Campa (Axininca) random(geometric length),-0.4529670753295285,4.043587525502018e-06,-0.29639918472677534,0.0,-0.6307746291487786,3.179472822147072e-07,-0.8574663593729688,1.257705827167285e-16,0.6837442809996647,1.2089184155642836e-08,3.8686228760449577,0.00031183601740627305,-0.7649285403264626,8.139834745398428e-21,-0.8831818950797403,1.185039126849696e-34,0.7994946375078795,7.235932159320716e-24,3.9809915930855855,0.0001309827721682908
Kabyle random(geometric length),-0.5644532247912053,1.9588158635478935e-05,-0.39572702705938617,0.0,-0.6871817909955691,5.150102330375718e-12,-0.8840490284408028,1.7424879136460045e-26,0.7905528107959524,1.2274981252550313e-17,5.510722460131188,4.960514252018743e-07,-0.7410379993577877,8.872937951558205e-29,-0.8653011026488606,1.189624660192047e-48,0.8156116197182943,6.650173701936048e-39,5.059873278083306,1.1736890075910396e-06
Ewe random(geometric length),-0.6085978790074675,1.9016847379234773e-05,-0.4084835456142609,0.0,-0.5715031611483092,1.1930978322010223e-09,-0.8328428959457278,7.00544143717729e-26,0.7515684587576049,1.123632278787584e-18,6.441784857521911,5.146952309086259e-09,-0.7075028046596538,4.5544031435197674e-31,-0.8187250401672043,1.2572744830782528e-48,0.7852677067984689,2.953683288747973e-42,4.127908606128186,5.443570401522417e-05
Barasana random(geometric length),-0.5274102971688367,3.816179074238319e-06,-0.34925277218840645,0.0,-0.4027979919628768,0.000132447429819789,-0.8979694539847093,2.499878816439502e-31,0.3898287601364284,0.00022615219078024831,8.189140958415893,2.946875955751135e-12,-0.7069037721748312,3.307616135725406e-27,-0.8477724107588375,2.0444322719526777e-48,0.6589661925545391,1.1558382008703063e-22,4.3079900696800975,2.7961781737763453e-05
Polish random(geometric length),-0.5369148088493393,1.989622419891842e-05,-0.36089711329744484,0.0,-0.6596544014154819,1.640180956248229e-10,-0.7015570216280899,3.352148855720799e-12,0.6908833687235988,9.608314859205402e-12,0.6606654832874631,0.5109648270736259,-0.5870399856933308,7.745043015074473e-13,-0.8210890951392537,1.7094310595387159e-31,0.5748187150330213,2.921416200844308e-12,4.830646147878818,4.028280138860271e-06
Hebrew random(geometric length),-0.5908837533840098,1.925855893836039e-05,-0.40089801499069055,0.0,-0.5385212153543479,3.6633632183771413e-07,-0.8136662355286903,1.3903343044640507e-19,0.513950267132775,1.489159688023682e-06,4.067671740287769,0.00011617472865050962,-0.564829119240578,4.4016772639784666e-13,-0.8189679452108375,7.451875237652128e-35,0.5592863024816064,8.292445660963551e-13,5.397389658003571,2.9216344499011983e-07
Malagasy random(geometric length),-0.5951292656070604,6.654904464035574e-07,-0.36635822935025847,0.0,-0.30307426821631267,0.006281653706577904,-0.7823865541794034,1.03877311382489e-17,0.5192803459426756,8.000335629144326e-07,6.823969571054518,1.7874572904433027e-09,-0.7297059367064892,7.10098227924857e-28,-0.8113003242888217,1.1442269625126986e-38,0.7134474396736808,3.474667190227065e-26,2.427638083437907,0.01632833701114925
French random(geometric length),-0.6085697518420898,3.49947002676336e-06,-0.3812901485769246,0.0,-0.6358497299599698,8.110049134748865e-11,-0.8725913427312473,3.052196918409266e-27,0.6949612565814591,2.2412053254260222e-13,5.432477702672466,5.69244556061244e-07,-0.6810151545461212,3.4226615443841763e-25,-0.8138079457437346,1.231111409689069e-42,0.7403244286881228,1.1848075771823296e-31,4.176732440139892,4.693198857371211e-05
Slovene random(geometric length),-0.5115418476498648,0.00010629481984101472,-0.38595136400520985,0.0,-0.7765140136997344,6.38253847416679e-18,-0.8277583559187182,4.981809119775028e-22,0.9387112164877237,3.2087390376689635e-39,2.330984647771153,0.02227276408405313,-0.6573284831971509,6.482983465937688e-20,-0.8311868201100546,1.4634475848742002e-39,0.7830350568216585,2.5069484703361313e-32,5.690367071542054,6.642217377975343e-08
German random(geometric length),-0.5837191405698957,3.60512694159856e-06,-0.3788706041536383,0.0,-0.44769893741308203,3.5193049217721377e-05,-0.8931043578156754,1.9551445427305005e-28,0.5759348865101405,2.8043150222755835e-08,8.97493065606912,1.4909291635064153e-13,-0.6816335894799135,9.578750749751943e-24,-0.8537900595458746,8.713957826037701e-48,0.7517435304757047,4.231425707754198e-31,5.883416896813455,2.2593523144470823e-08
