,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Dinka random(keeps long_char frequency),-0.8864052604279182,1.0785513887838022e-05,-0.529161025596617,0.0,-0.3447532945979139,5.520961538945322e-05,-0.8878893582222377,2.5076499252799046e-45,0.3966898858917366,2.722230684105315e-06,10.964131132350357,3.9282326665457796e-20,-0.6673945915707158,5.10635130906365e-31,-0.839778310444619,2.0846898153807605e-62,0.6984528238808609,5.610439148398363e-35,6.1359355019864115,3.731322847601093e-09
Slovak random(keeps long_char frequency),-0.8059217107893103,9.386549860652778e-05,-0.3802923006364395,0.0,-0.4568312920028347,4.2894532987225894e-05,-0.6746342123586042,4.3896950904333585e-11,0.4069288389513108,0.00032070055456729924,2.2847841643412856,0.025316444173676407,-0.4758044915986829,1.0585616478580174e-08,-0.8201888644470021,7.721055349615066e-33,0.4285249618851611,3.6507796104704394e-07,6.087597396807363,1.2601721402924924e-08
Swedish random(keeps long_char frequency),-0.7725528749956417,1.5605346814101235e-05,-0.5108554896935861,0.0,-0.4130342239354442,3.185520323032092e-05,-0.916560812781273,8.600287387456961e-39,0.3628311045599675,0.00030199541859744804,9.186674570591496,1.1746872256576514e-14,-0.6199192913359243,2.4755531540995137e-16,-0.8639305725403278,3.0433878782207515e-43,0.5568962398519473,7.437863370638641e-13,5.9726835345520275,1.8783237016950095e-08
Uma random(keeps long_char frequency),-0.898341551894183,1.772033215863205e-07,-0.4231826612346025,0.0,-0.3616693058251473,0.00023489435679673748,-0.8238532502430944,1.1815764072122697e-25,0.40595987691752716,3.0601460141709505e-05,6.890191311780025,5.822097018346756e-10,-0.6946041800281626,1.5961256225212216e-25,-0.8168765293571876,1.6201611428486093e-41,0.6661981262338632,6.566375794757831e-23,3.4474193880346027,0.0007181548475219836
Serbian random(keeps long_char frequency),-0.9074852129730301,1.214334428894695e-06,-0.3998275204901941,0.0,-0.6490056745420092,1.9839896882064592e-12,-0.7458462059604479,9.729588302967737e-18,0.8111850194039105,6.407346359361129e-23,2.2468360610548066,0.027096015530826027,-0.5707391680611192,1.0937958018060472e-14,-0.783967308685157,2.7742077429677768e-33,0.659917487126024,1.3008059225681462e-20,5.047909972440663,1.2691287385861423e-06
Camsa random(keeps long_char frequency),-0.7508615740922396,2.701362121799851e-06,-0.30104656096554516,0.0,-0.12122110084119772,0.3872285638587226,-0.8832658109439214,2.096290994529052e-18,0.1518723780206665,0.277658048373232,7.612235615075008,6.645195099143561e-10,-0.6719081712171144,1.419022286727791e-12,-0.853068052838508,1.8878771413255378e-25,0.5515908000788976,3.7066530177336796e-08,3.4801797969279513,0.0008012322781064398
Zulu random(keeps long_char frequency),-0.8136687326045038,2.3381856414225113e-06,-0.19859335585702315,0.0,-0.7691205750283265,0.0013021600678995216,-0.8810811650640956,3.145357462191963e-05,0.8975741239892183,1.3324971494680232e-05,1.7378945410727629,0.11010518268761219,-0.7739402031393694,0.0004343216125334778,-0.8516721886075157,2.835096811886384e-05,0.9262135922330098,2.6229012378365627e-07,1.3940210000373323,0.18668200944777105
Wolof random(keeps long_char frequency),-0.8370952383667944,1.4758284006910139e-05,-0.44417885852251876,0.0,-0.6889920751727,2.4782334802069814e-19,-0.6921519633895497,1.4586414362370262e-19,0.5140567950570623,5.429222543981358e-10,0.05619684683321636,0.9552747206167298,-0.6908070835650961,4.1065744259783483e-32,-0.5119158550459327,6.80693344491876e-16,0.5329136369067436,2.552700119886289e-17,-3.756873613892929,0.0002218381022387686
Somali random(keeps long_char frequency),-0.8148813536665075,2.1957553014280783e-06,-0.3550264410031283,0.0,-0.40610976185018344,0.00012667033126682122,-0.8674377765202543,1.393440478959368e-26,0.48251905758413266,3.351380444102672e-06,7.670598191575558,3.3359543831803805e-11,-0.682722099294554,8.16724991737755e-21,-0.740680752873916,5.953323176339558e-26,0.5735116536623841,8.668103261251024e-14,1.1984746687227037,0.23277163268666487
Estonian random(keeps long_char frequency),-0.8255529786319801,2.2439639673169863e-06,-0.41106383299740407,0.0,-0.5911512672302891,6.23598668750337e-09,-0.8505870816702967,9.26969521540689e-24,0.5045383128560809,1.5655681376417012e-06,4.329599690158137,4.3924604402868155e-05,-0.664902486414132,1.4411527753785817e-18,-0.6671309064123595,1.007474601959122e-18,0.5945318469319788,2.9077307238257444e-14,0.04164182016364503,0.9668471555120985
Akawaio random(keeps long_char frequency),-0.8148813536665075,2.1957553014280783e-06,-0.4826714020413956,0.0,-0.4442414316140528,1.0389387347093802e-06,-0.9164955407474545,3.5416917423854564e-45,0.34744854463316055,0.00018677860254820116,9.289906333226996,1.9173756436354004e-15,-0.6244335423862803,2.770632814467352e-21,-0.8405676939725382,2.4593447239937e-50,0.5720509274790653,2.2094774880577117e-17,5.799495213476992,2.9118853885414413e-08
Afrikaans random(keeps long_char frequency),-0.8250465164982912,1.3782811576441792e-05,-0.5119152709932239,0.0,-0.06977890023175505,0.4412436588122213,-0.85139774711158,5.463247104185397e-36,0.06993878187323095,0.4401952053566577,10.515782289264392,9.126181731108957e-19,-0.5694596494217931,1.004610648090757e-17,-0.754642716791065,3.01765947721744e-36,0.4146371385600853,2.7215960662314845e-09,3.684227280301998,0.00030026580286890767
Xhosa random(keeps long_char frequency),-0.7725528749956417,1.5605346814101235e-05,-0.24171758247153585,0.0,-0.7234697435582624,2.8715199841928027e-07,-0.7234697435582624,2.8715199841928027e-07,1.0,0.0,,,-0.6450314966179308,2.447701660329276e-07,-0.6450314966179308,2.447701660329276e-07,1.0,0.0,,
Indonesian random(keeps long_char frequency),-0.7607204822889371,1.594998370990974e-05,-0.3692607502778048,0.0,-0.45736268075174585,0.001228844320593401,-0.8774430964476978,5.886186268174006e-16,0.6563300574323584,5.474017603822937e-07,7.155947418912493,6.758034103691603e-09,-0.7095763282793845,2.566499009500616e-11,-0.6794511650333862,3.5611945104717843e-10,0.5826693069836429,2.854903956611257e-07,-0.4062278070374076,0.6859518196913769
Czech random(keeps long_char frequency),-0.8546298361646082,1.2484194692142917e-05,-0.3497022546996022,0.0,-0.5674032923122883,1.4134148181107188e-05,-0.6056138182854484,2.494900696694764e-06,0.45872365339578447,0.0007104484823751172,0.33995027872121464,0.735377128896333,-0.5330642884639791,1.598068260731044e-08,-0.8588264067099814,1.218528480432551e-29,0.44697757974377894,3.953256595701465e-06,5.657924583434123,1.6144083856075565e-07
Italian random(keeps long_char frequency),-0.7977240352174656,1.4796915405948722e-05,-0.3995874677914522,0.0,-0.6246416168268991,1.7205051463302637e-11,-0.8390920851842188,4.6500310433760856e-26,0.5826332173900445,7.247873208089349e-10,4.10954391360341,8.662415275587668e-05,-0.6284932962452023,4.505365070330263e-20,-0.7581682184396098,5.0956905396294436e-33,0.6271656338496009,5.688634144201046e-20,3.0423188406937838,0.0027272617953919883
English random(keeps long_char frequency),-0.870260272089029,1.1693859325274368e-05,-0.5009257556406664,0.0,-0.44805530476761635,2.0764178342359836e-06,-0.8747815046152839,1.4852078479950951e-33,0.3409045129746201,0.0004254871291610051,7.038700857710563,2.478464887084724e-10,-0.6628305979810868,1.239112127435303e-23,-0.7467614249426873,1.2227677658535078e-32,0.5615505258675454,5.162092879374722e-16,1.8975177470744895,0.059425359842681505
Greek random(keeps long_char frequency),-0.8395536678480481,1.3175276826489147e-05,-0.45509448242631195,0.0,-0.2834952577299555,0.010826108192446823,-0.9069970717609587,5.0205514789098295e-31,0.1597870824622553,0.1568338876838252,8.233709956584836,3.605980263181854e-12,-0.6169103363388229,1.85165511963172e-14,-0.8707607307761295,9.885266346283401e-40,0.5014095573916103,2.5826434790079547e-09,5.691113759901555,8.852029662971959e-08
Wolaytta random(keeps long_char frequency),-0.781189100190479,2.47616789262116e-06,-0.25721963731819925,0.0,-0.6080435943186051,5.1372073986483046e-05,-0.8559829740824244,7.413273849717665e-12,0.7438064494100942,8.743865560215487e-08,3.9076638754760125,0.0004074458596449423,-0.6896910003509091,2.897602871475193e-11,-0.7771242664465083,1.6216456856951103e-15,0.6880758442562699,3.360908500425092e-11,1.5098444785173115,0.13571605832705086
Creole random(keeps long_char frequency),-0.8864052604279182,1.0785513887838022e-05,-0.5208815873158419,0.0,-0.5973345130732276,8.896717739880362e-16,-0.8669642280793584,2.6227646005761082e-46,0.5595010774089699,1.1966204409422816e-13,6.769276528878621,2.9310329673357834e-10,-0.6590882202865732,2.1171809384797147e-34,-0.7383022013992919,6.904646662148884e-47,0.6688685759770927,9.834908615139665e-36,2.4271027943976295,0.015894634800032167
Albanian random(keeps long_char frequency),-0.8395536678480481,1.3175276826489147e-05,-0.45224159887411314,0.0,-0.4848355396631724,6.055789359168489e-08,-0.7890923494638058,5.01983526689581e-25,0.5305494922653506,1.7790097136966244e-09,5.183900262271701,1.0081101104838769e-06,-0.5008819266914546,1.131364298257851e-14,-0.7098573610792372,2.409243610908743e-33,0.5456034435124093,1.312070998885256e-17,4.440731544719251,1.4615066095021683e-05
Esperanto random(keeps long_char frequency),-0.7901613791877953,9.55068618751089e-05,-0.46064229485568436,0.0,-0.7542481072322396,2.8589174361223966e-21,-0.859781196915588,5.2576869128584986e-33,0.8872852255062538,9.448954883357673e-38,4.465877440714155,1.999771617702657e-05,-0.6928639186687294,8.599071692190248e-29,-0.7162541256720402,1.653340822124739e-31,0.9697367184487367,2.697699855488461e-118,1.872869175229121,0.06263053861930465
