,Rho_Freq_StrLen,P_Freq_StrLen,Rho_StrLen_VarFreq_NOVAR0,P_StrLen_VarFreq_NOVAR0,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_StrLen_VarFreq_VAR0,P_StrLen_VarFreq_VAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Somali,-0.3318824042221573,0.0,-0.9935064935064933,2.1102349405432995e-19,-0.41685725513569893,1.2009803684941746e-06,-0.6640515707263546,2.3395251910885313e-17,0.5252782405753945,2.7052658844853875e-10,3.714053759574274,0.00030793535256335445,-0.8220748823206532,1.4498970414557912e-07,-0.7366079567706095,4.37511315649882e-47,-0.5933224276333249,7.071869966559861e-27,0.4834686733763229,4.182573727419315e-17,-3.526637072661001,0.0004958220185012358
Q'eqchi',-0.22663007118733255,2.579326399869407e-107,-0.9654135338345864,5.932418372864708e-12,-0.3812861188685754,5.486506149157379e-06,-0.5295781917135067,4.729846250402472e-11,0.4043318752686504,1.2651101687224401e-06,1.8429386976922224,0.06759842898805585,-0.7686292751367879,1.1473018484762166e-05,-0.7548281268023566,4.529077447885403e-57,-0.5156855511485399,5.487683625622487e-22,0.40734160612471515,1.5367542866341276e-13,-5.813461255333825,1.5643430690522634e-08
Afrikaans,-0.307200072596756,3.376718778297948e-147,-0.9666095771422802,1.7413200025683632e-11,-0.5067665654009506,1.9074729577323743e-09,-0.5522358166069772,2.954781206034768e-11,0.45765968489126885,9.090455004562114e-08,0.5997237402525374,0.5498117679626755,-0.7836442433106429,9.735169031101627e-06,-0.7623282402673893,7.393929155104276e-51,-0.6908442618458107,2.3499899776058456e-38,0.5891119000757412,8.87775685090872e-26,-2.1193314000836296,0.03501779147222903
Tachelhit,-0.35006927250865283,0.0,-0.9369903918368122,4.676777120382552e-11,-0.495447615152723,3.314759556939198e-07,-0.5471328480262339,9.63815373411669e-09,0.5494851387647087,8.086486670496435e-09,0.6410688356650351,0.5230717353231003,-0.6384879872919184,0.00019366906169323648,-0.8156028465749685,7.111797664502115e-45,-0.47248314041658046,1.4492963214391457e-11,0.4353518920972156,7.322717463525778e-10,-7.186515507837387,1.7058112032071575e-11
Campa (Axininca),-0.2621709909609987,0.0,-0.9805188111839815,6.651949903205786e-25,-0.47093183192979704,4.739096883202293e-06,-0.6180818054489747,2.29304120813574e-10,0.5015973088579158,8.666601660363167e-07,1.7229890456790289,0.08861437382791489,-0.83762956148195,1.8878363313656885e-10,-0.7916960501275024,2.1772587652014626e-43,-0.5949774104132259,3.729936993558192e-20,0.5452271072596782,1.4260671073653265e-16,-4.729553698692151,4.3358130093893244e-06
Lukpa,-0.3350569608603671,3.8745153863905555e-190,-0.8147058823529412,0.00012130950572235612,-0.2889875924484995,0.0008150392103731196,-0.4778745291197452,7.834745872354934e-09,0.3926688866974097,3.501877635208686e-06,2.197375468393074,0.02979302741183062,-0.6203876013294999,0.004597182669980602,-0.7327348269688612,2.0871548858902252e-51,-0.5833842426984267,1.4349927333843225e-28,0.4699989062021054,8.804656277017476e-18,-3.795653750706184,0.00017872398782519373
Swedish,-0.2920613104286942,1.126330984671243e-189,-0.9258893280632412,2.4456038646979814e-10,-0.45272745763767586,6.373044818699372e-08,-0.5712757161271493,1.269248208124815e-12,0.7200953696054835,4.6887232458638335e-22,2.171768091739231,0.031731177158447955,-0.7209078802330061,4.796349003678036e-05,-0.770225790828728,1.1941521489850756e-55,-0.6706231171110758,1.5208902936480559e-37,0.6200088141060525,8.213043644746329e-31,-3.112711023384331,0.002049922451666538
Polish,-0.2513685615248058,1.349427504769185e-223,-0.9684210526315788,1.09055586677185e-11,-0.4117971107311505,3.2726869809779866e-06,-0.6997184720105408,8.526053438427768e-19,0.6161051017881205,8.77771963898403e-14,4.890645790425255,3.264648640720727e-06,-0.7171159845575656,0.0002536768928631885,-0.7772599726141438,1.3888791589482472e-48,-0.7032636540568251,3.1148538435879874e-36,0.621078250255723,2.3533254321339667e-26,-2.2131151739394888,0.027867986946078498
Ewe,-0.3289638964330776,2.111674965084205e-232,-0.9578947368421052,1.2135311926058017e-10,-0.3956098035055168,2.666428613571052e-06,-0.5477231051205455,1.0704137437253515e-11,0.499091593420817,1.1211401508481517e-09,2.0654083581835088,0.04088673876804658,-0.7354442235615888,9.621333593174306e-05,-0.7655208187848733,3.595143721955787e-60,-0.6029410182488748,1.1242192260972354e-31,0.513658857414877,5.307474510604055e-22,-4.591494437232122,6.45828644714823e-06
Paite,-0.31236287893045106,2.0004166569633406e-267,-0.9649122807017543,1.0347287642285863e-10,-0.3481285240620357,3.280860347983727e-05,-0.5054025839308274,3.4888252712939675e-10,0.5558947995900209,2.137667792462305e-12,2.2231324607984555,0.027894936679258398,-0.7032719564662268,0.0005418258569749251,-0.7355770170563004,1.0533505181888177e-45,-0.5344553191727773,1.1090852444090024e-20,0.557228565467423,1.0841910672880786e-22,-5.052742745923881,8.252973263838635e-07
