,QtyOfTokens,StrLen_1,StrLen_2,StrLen_3,StrLen_4,StrLen_5,StrLen_6,StrLen_7,StrLen_8,StrLen_9,StrLen_10,StrLen_11,StrLen_12,StrLen_13,StrLen_14,StrLen_15,StrLen_16,StrLen_17,StrLen_18,StrLen_19,StrLen_20,StrLen_21,StrLen_22,StrLen_23,StrLen_24,StrLen_25,StrLen_26,StrLen_27,StrLen_28,StrLen_29,StrLen_30,StrLen_31,StrLen_32,StrLen_33,StrLen_34,StrLen_35
Maori,233151.0,40265.0,63519.0,39480.0,30724.0,23190.0,16257.0,7093.0,4719.0,3178.0,1873.0,1264.0,536.0,464.0,410.0,90.0,53.0,4.0,30.0,1.0,,1.0,,,,,,,,,,,,,,
Basque,132259.0,41.0,3275.0,15950.0,19295.0,20082.0,18637.0,15413.0,12748.0,9195.0,6941.0,4540.0,2637.0,1645.0,898.0,536.0,231.0,105.0,62.0,17.0,4.0,6.0,1.0,,,,,,,,,,,,,
Somali,159286.0,3544.0,23227.0,19003.0,16990.0,28296.0,20529.0,15052.0,11481.0,8982.0,4946.0,3395.0,1673.0,1063.0,530.0,239.0,168.0,80.0,42.0,21.0,11.0,7.0,1.0,,,2.0,4.0,,,,,,,,,
Latvian,132081.0,16.0,24267.0,21692.0,22074.0,18299.0,14434.0,10929.0,8069.0,5454.0,3454.0,1768.0,903.0,413.0,242.0,34.0,22.0,8.0,3.0,,,,,,,,,,,,,,,,,
Mam,216864.0,6634.0,31785.0,30116.0,44585.0,35553.0,20870.0,20841.0,11757.0,6792.0,3205.0,2668.0,1095.0,529.0,229.0,103.0,61.0,26.0,2.0,9.0,1.0,3.0,,,,,,,,,,,,,,
Q'eqchi',233585.0,344.0,61612.0,41478.0,29056.0,29419.0,24348.0,17389.0,11545.0,7819.0,5229.0,2333.0,1161.0,812.0,397.0,311.0,236.0,43.0,29.0,17.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
German,169099.0,29.0,14828.0,56732.0,26282.0,23595.0,19249.0,10456.0,7350.0,4220.0,2608.0,1607.0,961.0,621.0,303.0,120.0,102.0,20.0,4.0,3.0,,3.0,,1.0,,,,1.0,4.0,,,,,,,
Italian,156872.0,12606.0,28636.0,24920.0,15150.0,21963.0,19578.0,12686.0,8242.0,5454.0,3304.0,2165.0,1222.0,596.0,217.0,88.0,21.0,10.0,3.0,4.0,1.0,3.0,,,3.0,,,,,,,,,,,
Vietnamese,205373.0,1489.0,45332.0,77955.0,50047.0,26395.0,3158.0,574.0,169.0,69.0,168.0,16.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
Kabyle,154796.0,25112.0,11259.0,17078.0,17059.0,26232.0,22150.0,14947.0,8352.0,5971.0,3472.0,2127.0,627.0,294.0,93.0,16.0,7.0,,,,,,,,,,,,,,,,,,,
Finnish,133984.0,6.0,17758.0,8235.0,17245.0,21734.0,19788.0,13131.0,11542.0,8146.0,5556.0,4163.0,2644.0,1666.0,1054.0,496.0,349.0,202.0,131.0,56.0,43.0,14.0,14.0,5.0,2.0,2.0,2.0,,,,,,,,,
Lithuanian,118761.0,2230.0,15296.0,17764.0,15152.0,15367.0,14825.0,11163.0,10007.0,6705.0,4927.0,2582.0,1348.0,702.0,330.0,183.0,70.0,41.0,35.0,16.0,9.0,2.0,3.0,3.0,,1.0,,,,,,,,,,
Latin,125477.0,602.0,20961.0,17204.0,16782.0,18997.0,12777.0,11618.0,9397.0,6632.0,4502.0,2837.0,1668.0,824.0,456.0,159.0,38.0,19.0,3.0,1.0,,,,,,,,,,,,,,,,
Indonesian,175845.0,,6293.0,17215.0,33150.0,36753.0,28823.0,18761.0,12659.0,8107.0,6067.0,2759.0,2172.0,1004.0,906.0,212.0,423.0,73.0,204.0,197.0,35.0,14.0,12.0,2.0,2.0,2.0,,,,,,,,,,
Chinantec,304955.0,37617.0,38549.0,27851.0,38323.0,54769.0,37850.0,27564.0,22022.0,8655.0,4668.0,3397.0,1696.0,1048.0,478.0,302.0,104.0,45.0,11.0,5.0,1.0,,,,,,,,,,,,,,,
Czech,140063.0,16965.0,14917.0,17228.0,27595.0,17533.0,17316.0,11333.0,7099.0,4710.0,2975.0,1245.0,643.0,355.0,96.0,33.0,14.0,6.0,,,,,,,,,,,,,,,,,,
Zarma,196969.0,11302.0,66885.0,31044.0,29639.0,29407.0,12917.0,7551.0,4009.0,1518.0,1477.0,532.0,244.0,212.0,88.0,50.0,89.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,
French,174124.0,4435.0,41343.0,30866.0,28514.0,20694.0,16561.0,10574.0,8123.0,6060.0,3423.0,1728.0,940.0,493.0,265.0,68.0,25.0,6.0,6.0,,,,,,,,,,,,,,,,,
Serbian,138162.0,17317.0,25839.0,16055.0,23339.0,17769.0,13750.0,9902.0,6920.0,3568.0,1878.0,1018.0,573.0,144.0,56.0,29.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,
Akawaio,190694.0,411.0,31527.0,41009.0,38674.0,29469.0,10981.0,13666.0,10615.0,6618.0,3230.0,2219.0,935.0,828.0,246.0,159.0,54.0,24.0,7.0,9.0,6.0,3.0,2.0,,1.0,1.0,,,,,,,,,,
Dutch,191463.0,4114.0,32927.0,52194.0,32684.0,20204.0,19729.0,10045.0,8197.0,4385.0,3485.0,1605.0,925.0,494.0,195.0,112.0,78.0,69.0,8.0,4.0,7.0,,1.0,1.0,,,,,,,,,,,,
Hebrew,109663.0,3.0,19929.0,25480.0,28602.0,21138.0,9823.0,3595.0,929.0,134.0,27.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Esperanto,156277.0,,41070.0,34188.0,16952.0,20745.0,12569.0,10747.0,8021.0,5026.0,3269.0,1736.0,946.0,509.0,298.0,104.0,63.0,20.0,10.0,2.0,,1.0,1.0,,,,,,,,,,,,,
Galela,285306.0,29415.0,53326.0,31423.0,27153.0,41311.0,45430.0,20470.0,17339.0,6624.0,5737.0,2736.0,2186.0,1009.0,738.0,205.0,148.0,32.0,16.0,4.0,2.0,2.0,,,,,,,,,,,,,,
Amuzgo,199786.0,,37356.0,14731.0,29292.0,29275.0,19458.0,14880.0,13780.0,9820.0,10241.0,6812.0,4941.0,2883.0,2122.0,1392.0,1181.0,680.0,488.0,243.0,116.0,45.0,36.0,2.0,9.0,2.0,,,1.0,,,,,,,
Romani,183242.0,10334.0,41008.0,28198.0,23728.0,28842.0,19311.0,12446.0,9730.0,4763.0,3288.0,932.0,457.0,119.0,69.0,10.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Ewe,220392.0,3658.0,78308.0,45176.0,37149.0,22916.0,14254.0,8510.0,4251.0,2637.0,1443.0,899.0,450.0,317.0,197.0,73.0,56.0,67.0,19.0,9.0,1.0,2.0,,,,,,,,,,,,,,
Xhosa,110308.0,1.0,5344.0,4417.0,13670.0,18001.0,13616.0,12150.0,11369.0,9012.0,7830.0,5203.0,3800.0,2369.0,1511.0,1006.0,450.0,307.0,118.0,73.0,30.0,9.0,12.0,7.0,2.0,1.0,,,,,,,,,,
Shuar,132415.0,23.0,9987.0,5974.0,18992.0,18463.0,11594.0,18275.0,10138.0,9904.0,7750.0,6508.0,4773.0,3638.0,2461.0,1416.0,1002.0,645.0,354.0,232.0,112.0,70.0,46.0,33.0,13.0,6.0,5.0,1.0,,,,,,,,
