,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen,P_Freq_VarStrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen,Fisher_z_Freq_VarStrLen_MeanStrLen,Fisher_p_Freq_VarStrLen_MeanStrLen
Uspanteco,-0.981424148606811,6.725639702470495e-13,-0.3140948947276946,5.76737086344244e-196,-0.28649953682807927,0.0005470117631693352,-0.45696439413275597,1.3206585778367014e-17,1.9476954516448952,0.0514514146715479
Swedish,-0.9258893280632412,2.4456038646979814e-10,-0.2920613104286942,1.126330984671243e-189,-0.45272745763767586,6.373044818699372e-08,-0.6706231171110758,1.5208902936480559e-37,3.015876203237268,0.0025623785316060133
Icelandic,-0.9285714285714285,1.2802944161833169e-09,-0.31177788427746334,1.629994368929348e-293,-0.5405414533753357,3.771240921745441e-10,-0.6981515319819425,4.1830697074156466e-36,2.2604194786691045,0.023795228707328864
Slovene,-0.9699248120300751,1.7143556108377437e-12,-0.2915653208521629,7.483376593443449e-287,-0.41302174909557404,3.3507618764201173e-06,-0.7410857393421958,2.294611669161143e-42,4.507041274014882,6.573784995023146e-06
Quichua,-0.8616600790513835,1.2820052784329563e-07,-0.28387643358283127,3.455615451958685e-274,-0.3255056385184863,0.00032225269449043546,-0.5909953886844004,5.147471558202093e-22,2.957515679561365,0.003101289758568715
Campa (Axininca),-0.9805188111839815,6.651949903205786e-25,-0.2621709909609987,0.0,-0.47093183192979704,4.739096883202293e-06,-0.5949774104132259,3.729936993558192e-20,1.32612508775904,0.18479826746321604
Swahili,-0.9123731371053829,2.0975603907718005e-08,-0.4066534590138566,0.0,-0.4145997541154299,1.0353803941436512e-06,-0.595131097738638,5.1254247173684814e-26,2.243100056631144,0.024890363032590734
Achuar,-0.9594861660079053,5.004227319259334e-13,-0.2290304629332906,2.028910458651128e-223,-0.49741605534884753,2.3287078217033338e-09,-0.46655212144315245,4.710484145331451e-16,0.37127018318884064,0.7104363037848538
Lithuanian,-0.983162995023326,5.50086166688544e-17,-0.3034940460618542,0.0,-0.37446247326320287,0.00013429815979767206,-0.735540655162787,1.0473247604897655e-37,4.443922237014077,8.833354285808781e-06
Aguaruna,-0.9532987689099213,2.165582361385204e-12,-0.2724928523940861,0.0,-0.4735875657774591,2.7728050956263846e-08,-0.5422520877878373,3.956515542709993e-20,0.8321781735469498,0.4053083818911287
Cebuano,-0.975438596491228,1.3190643557743196e-12,-0.2432439014167716,1.5342183652644844e-150,-0.48412792505603375,5.550253332464502e-08,-0.6483595616111449,1.2290306506747996e-32,2.1448819399253947,0.03196228755965991
Galela,-0.9774436090225563,1.322934226421056e-13,-0.27333160020536057,5.273115778925212e-193,-0.3474157684903345,5.872132628785009e-05,-0.5440573628881585,5.6556560636133046e-24,2.312214741428882,0.020765852314864386
Akawaio,-0.9434714904875418,4.756862580979776e-11,-0.3485508285153171,4.780447513704826e-269,-0.5203934970393993,8.062368301119272e-10,-0.577642634522858,1.9812519615251587e-25,0.7443076366346653,0.4566903822960715
Camsa,-0.9733860226064207,8.269342624170535e-19,-0.2857759972779507,0.0,-0.3713784179420175,2.3473625480811276e-05,-0.614838304334637,2.5397582223910133e-28,2.952494910522339,0.0031521726638328307
English,-0.9441176470588234,3.933929195107234e-08,-0.29497298218609863,5.2951791518518244e-121,-0.41816780496917555,1.346971341956361e-06,-0.6992999036343366,5.189088544320585e-43,3.8668481702941055,0.00011025101970174589
Basque,-0.9360182370900835,4.6329737042905617e-10,-0.28392821495821624,0.0,-0.3895407153802276,1.0948654684105536e-05,-0.6056434788443541,1.0320505863314844e-23,2.5410586095830263,0.011051739163495666
Zulu,-0.8941646312740126,8.935764581811212e-09,-0.2720503995272889,0.0,-0.2740458385517213,0.006053882025472168,-0.526736768615178,7.021728965747469e-14,2.3892183629338164,0.01688426368034368
Cakchiquel,-0.9964912280701754,9.285165080058482e-20,-0.27867599644258784,2.0124818410946098e-147,-0.33212608724519427,3.5025537422431783e-05,-0.5024783838116647,2.936475898806233e-22,2.0796976333145296,0.03755327531571373
Dinka,-0.95,6.08625795805396e-08,-0.33302951117278123,3.1534009310869646e-152,-0.4191074075894128,2.5529237179987214e-07,-0.6574717539295826,8.992688562063015e-38,3.298214084503045,0.0009730191728860582
Hungarian,-0.9695087521174479,1.1054140091339578e-13,-0.27961688197806295,0.0,-0.4440567485193348,4.144450258865892e-06,-0.6347415471881922,7.748997150708428e-24,2.183798192503127,0.02897708047971692
Chinantec,-0.9929824561403509,3.322159835845131e-17,-0.28777415050669153,1.5767771667954769e-239,-0.4166131442844136,1.1399426291988783e-07,-0.48182795970248854,9.26980176608102e-21,0.8246676432800681,0.4095603064754998
Czech,-0.9681372549019608,1.9909901926022065e-10,-0.299261913644498,0.0,-0.2744149673414886,0.002129695269666023,-0.6756902114545327,1.2530790787091297e-33,4.822149155573126,1.4201968223659378e-06
Esperanto,-0.9855521155830752,9.124170334062525e-14,-0.32919297257159863,0.0,-0.5235309543111774,3.730415820310212e-09,-0.7179706454285127,2.274364165560592e-38,2.764484193755299,0.0057012869266372945
Wolof,-0.9865707743723946,5.099778988008136e-14,-0.38158267030142085,1.8582562645101177e-245,-0.5109995629257138,2.0652498543010849e-10,-0.6248393781308547,1.362210083650007e-32,1.6076541248580394,0.10791095106332849
Romanian,-0.9794117647058824,3.982009789755264e-11,-0.27765440035548217,6.973377242475203e-170,-0.34857663491751145,2.1265538204200557e-05,-0.6836981912590444,7.446562828147259e-38,4.50002115070823,6.794670146748061e-06
Maori,-0.9628482972136224,1.62399434830459e-10,-0.2585924909891741,7.261361733789232e-52,-0.5080692875276481,2.3192015449442834e-09,-0.6516731576810446,7.709156284084832e-36,1.9949726151164606,0.04604586670028521
Ewe,-0.9578947368421052,1.2135311926058017e-10,-0.3289638964330776,2.111674965084205e-232,-0.3956098035055168,2.666428613571052e-06,-0.6029410182488748,1.1242192260972354e-31,2.6569249053587147,0.007885700644554072
Q'eqchi',-0.9654135338345864,5.932418372864708e-12,-0.22663007118733255,2.579326399869407e-107,-0.3812861188685754,5.486506149157379e-06,-0.5156855511485399,5.487683625622487e-22,1.612640697110878,0.10682259135803096
Nahuatl,-0.779967159277504,9.917276807427418e-07,-0.2894096298605961,3.9115683860207706e-288,-0.42227024314654343,4.326948216957187e-06,-0.6127635051532264,1.5155207029181218e-26,2.262938809063931,0.023639461615640567
Polish,-0.9684210526315788,1.09055586677185e-11,-0.2513685615248058,1.349427504769185e-223,-0.4117971107311505,3.2726869809779866e-06,-0.7032636540568251,3.1148538435879874e-36,3.8310008780705624,0.00012762304997737672
Uma,-0.9473684210526316,7.800829220458973e-10,-0.3250793691855976,1.1774151898890697e-307,-0.2875762974426884,0.0008273088357568456,-0.5994699894392306,1.1052892704662652e-29,3.739555238939726,0.0001843461361510368
Shuar,-0.8919658119658118,9.516108806257503e-10,-0.2371923196698174,1.231785486581137e-290,-0.4952112352465764,1.0502423474656985e-07,-0.5750871297509944,7.435110666752233e-21,0.9285644698581452,0.35311484225493794
Afrikaans,-0.9666095771422802,1.7413200025683632e-11,-0.307200072596756,3.376718778297948e-147,-0.5067665654009506,1.9074729577323743e-09,-0.6908442618458107,2.3499899776058456e-38,2.642857998232961,0.00822095055293448
Tachelhit,-0.9369903918368122,4.676777120382552e-11,-0.35006927250865283,0.0,-0.495447615152723,3.314759556939198e-07,-0.47248314041658046,1.4492963214391457e-11,0.23402111828835,0.8149685838078033
Albanian,-0.9731682146542827,1.2418823458351716e-11,-0.27411037884279027,1.3557897873327024e-212,-0.3441191780358381,0.0001553663535502546,-0.6102071656844766,8.603195825248283e-27,3.0841813594226575,0.0020411312705628237
Kabyle,-0.9941176470588234,6.4339974884469385e-15,-0.28320192748387024,8.768913670361127e-301,-0.42418486597836025,2.083205046340771e-06,-0.5712782354248731,2.0700455042762242e-21,1.7091825508626772,0.08741714000761158
