,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_VarStrLen,P_Freq_VarStrLen
Maori,-0.5080692875276481,2.3192015449442834e-09,-0.9628482972136224,1.62399434830459e-10
Basque,-0.3895407153802276,1.0948654684105536e-05,-0.9360182370900835,4.6329737042905617e-10
Somali,-0.41685725513569893,1.2009803684941746e-06,-0.9935064935064933,2.1102349405432995e-19
Latvian,-0.5456551741487952,1.749591021766246e-09,-0.8112745098039217,7.738036180608982e-05
Mam,-0.2902601468154036,0.0002372478375032811,-0.9729323308270676,6.714944202233509e-13
Q'eqchi',-0.3812861188685754,5.486506149157379e-06,-0.9654135338345864,5.932418372864708e-12
German,-0.43645822200215917,2.9031777403750614e-07,-0.8948051948051948,4.4250104531437685e-08
Italian,-0.3939022637866624,2.9698619949324525e-06,-0.9721597936408257,8.626107820163842e-13
Vietnamese,-0.3688665217346743,2.15558453084101e-06,-0.8545454545454546,0.0008066741521648989
Kabyle,-0.42418486597836025,2.083205046340771e-06,-0.9941176470588234,6.4339974884469385e-15
Finnish,-0.4322073996314192,7.922298179129957e-06,-0.794858879582559,1.2323685776043973e-06
Lithuanian,-0.37446247326320287,0.00013429815979767206,-0.983162995023326,5.50086166688544e-17
Latin,-0.4303224659693886,1.9632154585487936e-06,-0.9979360165118679,1.6451231715312417e-20
Indonesian,-0.508737266580865,1.016917620953738e-09,-0.9251526567366758,1.0037828330081168e-10
Chinantec,-0.4166131442844136,1.1399426291988783e-07,-0.9929824561403509,3.322159835845131e-17
Czech,-0.2744149673414886,0.002129695269666023,-0.9681372549019608,1.9909901926022065e-10
Zarma,-0.4134382689311353,7.57055680285661e-07,-0.9093137254901962,4.274417714447823e-07
French,-0.3374668730529351,9.801329461974684e-05,-0.9649122807017543,1.0347287642285863e-10
Serbian,-0.4483194444214903,2.513306497848615e-07,-0.9705882352941176,4.723401127287032e-10
Akawaio,-0.5203934970393993,8.062368301119272e-10,-0.9434714904875418,4.756862580979776e-11
Dutch,-0.467818872704903,8.21541521712364e-09,-0.9052631578947368,4.1218738017445394e-08
Hebrew,-0.37869805566149606,7.999384349551182e-05,-0.5466984570938462,0.08181234808652157
Esperanto,-0.5235309543111774,3.730415820310212e-09,-0.9855521155830752,9.124170334062525e-14
Galela,-0.3474157684903345,5.872132628785009e-05,-0.9774436090225563,1.322934226421056e-13
Amuzgo,-0.4287083656453212,4.942931647026458e-07,-0.9767340957142499,3.3458047651410917e-16
Romani,-0.3416383874033864,3.854573558215266e-05,-0.9941176470588234,6.4339974884469385e-15
Ewe,-0.3956098035055168,2.666428613571052e-06,-0.9578947368421052,1.2135311926058017e-10
Xhosa,-0.47081027201282477,4.5676033567076906e-07,-0.9742833648284318,4.51877069311921e-15
Shuar,-0.4952112352465764,1.0502423474656985e-07,-0.8919658119658118,9.516108806257503e-10
Quichua,-0.3255056385184863,0.00032225269449043546,-0.8616600790513835,1.2820052784329563e-07
Greek,-0.31765486538430954,0.00043112139113144166,-0.9912236736529192,1.7217148515872184e-15
Norwegian,-0.4643426546181671,2.6250727361421706e-08,-0.9338345864661652,1.8126865423587107e-09
English,-0.41816780496917555,1.346971341956361e-06,-0.9441176470588234,3.933929195107234e-08
Paite,-0.3481285240620357,3.280860347983727e-05,-0.9649122807017543,1.0347287642285863e-10
Estonian,-0.4600795773842571,5.457335606003597e-07,-0.9739972307429804,2.2910790751673075e-14
Cebuano,-0.48412792505603375,5.550253332464502e-08,-0.975438596491228,1.3190643557743196e-12
Turkish,-0.4187329424814384,7.930321824787375e-06,-0.9931796561490199,3.36039155335384e-19
Wolaytta,-0.3715303380524662,4.0231952832322905e-05,-0.9558233190795935,2.908304574668558e-14
Nahuatl,-0.42227024314654343,4.326948216957187e-06,-0.779967159277504,9.917276807427418e-07
Dinka,-0.4191074075894128,2.5529237179987214e-07,-0.95,6.08625795805396e-08
Jakalteko,-0.22643981397311533,0.009301868631214195,-0.899642788598033,2.8848430471226312e-08
Cabecar,-0.4136822029652502,3.2204775214845253e-06,-0.8039215686274511,0.0001007394030010668
Slovak,-0.15055442318140677,0.10517644032652552,-0.9509803921568628,4.79175684831834e-09
Slovene,-0.41302174909557404,3.3507618764201173e-06,-0.9699248120300751,1.7143556108377437e-12
Barasana,-0.5342571944700888,8.314094935803588e-11,-0.9511427487456349,8.714597044220258e-15
Afrikaans,-0.5067665654009506,1.9074729577323743e-09,-0.9666095771422802,1.7413200025683632e-11
Portuguese,-0.564766698855609,3.818323322304147e-12,-0.9705882352941178,1.1001306700206495e-10
Swedish,-0.45272745763767586,6.373044818699372e-08,-0.9258893280632412,2.4456038646979814e-10
Uma,-0.2875762974426884,0.0008273088357568456,-0.9473684210526316,7.800829220458973e-10
Aguaruna,-0.4735875657774591,2.7728050956263846e-08,-0.9532987689099213,2.165582361385204e-12
Wolof,-0.5109995629257138,2.0652498543010849e-10,-0.9865707743723946,5.099778988008136e-14
Camsa,-0.3713784179420175,2.3473625480811276e-05,-0.9733860226064207,8.269342624170535e-19
Swahili,-0.4145997541154299,1.0353803941436512e-06,-0.9123731371053829,2.0975603907718005e-08
Romanian,-0.34857663491751145,2.1265538204200557e-05,-0.9794117647058824,3.982009789755264e-11
Albanian,-0.3441191780358381,0.0001553663535502546,-0.9731682146542827,1.2418823458351716e-11
