,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen
Maori,-0.2585924909891741,7.261361733789232e-52,-0.6516731576810446,7.709156284084832e-36
Basque,-0.28392821495821624,0.0,-0.6056434788443541,1.0320505863314844e-23
Somali,-0.3318824042221573,0.0,-0.5933224276333249,7.071869966559861e-27
Latvian,-0.27895899777348326,7.764652525922394e-278,-0.7056600517543675,2.0744576486832282e-33
Mam,-0.3099811336273136,2.5006064097707346e-240,-0.5173933400953897,5.441590159742033e-24
Q'eqchi',-0.22663007118733255,2.579326399869407e-107,-0.5156855511485399,5.487683625622487e-22
German,-0.336076397132469,8.541646320368353e-234,-0.6990247167237833,6.474383375400322e-41
Italian,-0.31888563875217524,1.70497036013546e-300,-0.6579546469950012,9.574439067841243e-35
Vietnamese,-0.19600063962263192,2.393759548675055e-28,-0.1997849549041142,0.00022807851434210308
Kabyle,-0.28320192748387024,8.768913670361127e-301,-0.5712782354248731,2.0700455042762242e-21
Finnish,-0.31943621309468234,0.0,-0.6247909634399627,7.170889815566074e-26
Lithuanian,-0.3034940460618542,0.0,-0.735540655162787,1.0473247604897655e-37
Latin,-0.28493484118193324,5.193998787509795e-291,-0.7171149782871991,3.036390479383857e-35
Indonesian,-0.2595620470952088,1.2534107472309187e-111,-0.5516376824634477,1.2890070610864106e-23
Chinantec,-0.28777415050669153,1.5767771667954769e-239,-0.48182795970248854,9.26980176608102e-21
Czech,-0.299261913644498,0.0,-0.6756902114545327,1.2530790787091297e-33
Zarma,-0.3173350942814909,6.793826929509136e-99,-0.6935331696110514,2.4398771660774806e-42
French,-0.30517660026673743,6.964431322596464e-235,-0.690634695562424,6.85620571571029e-39
Serbian,-0.309749495209466,1.4574461840455306e-284,-0.7747534888959329,2.736071362413671e-46
Akawaio,-0.3485508285153171,4.780447513704826e-269,-0.577642634522858,1.9812519615251587e-25
Dutch,-0.31949124670030615,8.703794942150991e-197,-0.7111538396389497,9.53341394276669e-47
Hebrew,-0.28198271854881235,0.0,-0.535797786674236,3.5031247231584275e-16
